Manufacturer            , MPN                   , Quantity
JST                     , XHP-3                 , 10
JST                     , S4B-XH-A(LF)(SN)      , 10
JST                     , XHP-4                 , 10
JST                     , SXH-001T-P0.6         , 10
JST                     , S2B-PH-K-S(LF)(SN)    , 10
JST                     , S2B-PH-SM4-TB(LF)(SN) , 10
JST                     , PHR-2                 , 10
JST                     , SPH-002T-P0.5S        , 10
Phoenix Contact         , 1803578               , 10
Phoenix Contact         , 1803277               , 10
Knowles Acoustics       , SPU0409HD5H-PB        , 10
Freescale Semiconductor , MMA8452QR1            , 10
Maxim Integrated        , DS18B20U+             , 10
Microchip               , MCP9808-E/MS          , 10
STMicroelectronics      , L3GD20H               , 10
Sensirion               , SHT21                 , 10
Littelfuse              , 1812L050PR            , 10
Littelfuse              , 1812L075PR            , 10
Littelfuse              , 1812L110/33MR         , 10
Littelfuse              , 1812L160/12DR         , 10
E-Switch                , TL3342F160QG          , 10
TE Connectivity         , 1825289-1             , 10
Omron                   , B3U-3000P             , 10
Texas Instruments       , UA7805CKTTR           , 10
Texas Instruments       , LMS8117AMP-3.3/NOPB   , 10
Texas Instruments       , LM1117IMP-5.0-NOPB    , 10
Texas Instruments       , LP2985-33DBVR         , 10
Texas Instruments       , LP2985-50DBVR         , 10
Texas Instruments       , LMR12010YMKE/NOPB     , 10
Texas Instruments       , LMR10510YMFE/NOPB     , 10
Texas Instruments       , LM2576HVS-5.0/NOPB    , 10
Freescale Semiconductor , SGTL5000XNAA3         , 10
Texas Instruments       , MAX232D               , 10
FTDI                    , FT232RL-REEL          , 10
WIZnet                  , W5500                 , 10
H&D Wireless            , HDG104-DN-2           , 10
Texas Instruments       , CC2540F256RHAR        , 10
Nordic                  , NRF51822-QFAA-T       , 10
Nordic                  , nRF905                , 10
STMicroelectronics      , BAL-NRF01D3           , 10
Johanson                , 2450AT07A0100T        , 10
Texas Instruments       , CC3000MOD             , 10
Johanson                , 2500AT44M0400E        , 10
Microchip               , MCP73832T-2ACI/OT     , 10
Texas Instruments       , DRV8825PWP            , 10
STMicroelectronics      , L293DD                , 10
Toshiba                 , TB6612FNG             , 10
Texas Instruments       , LM358DR               , 10
Texas Instruments       , LMV324IDR             , 10
Fairchild Semiconductor , FAN4174IS5X           , 10
Texas Instruments       , NE555DR               , 10
Maxim Integrated        , DS1307ZN+             , 10
Spansion                , S25FL204k0TMFI011     , 10
Microchip               , 24AA02T-I/OT          , 10
ON Semiconductor        , CAT24C32WI-GT3        , 10
Atmel                   , ATMEGA328P-AU         , 10
Atmel                   , ATMEGA328P-PU         , 10
Atmel                   , ATMEGA1284P-AU        , 10
Atmel                   , ATMEGA2560V8AU        , 10
Atmel                   , ATTINY85-20SU         , 10
Atmel                   , ATTINY85-20PU         , 10
NXP                     , "LPC1768FBD100        , 551"     , 10
STMicroelectronics      , STM32F401RBT6         , 10
Freescale               , MK22FN1M0VLH12        , 10
Freescale               , MKL25Z128VLH4         , 10
Texas Instruments       , MSP430F2132IPW        , 10
Arduino                 , A000066               , 1
Electric Imp            , IMP001-US-R-ENG       , 1
Tessel                  ,                       , 1
pinoccio                ,                       , 1
spark.io                ,                       , 1
WRTnode                 , 317060005             , 1
BeagleBone Black        , BB-BBLK-000           , 1
Raspberry Pi            , RASPBRRY-MODB-512M    , 1
